news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name
American Spectator,right,5,News Media,7031,2838,0.7124328706049246,https://www.allsides.com/news-source/american-spectator,0,0,0,1,Medium,https://twitter.com/AmSpec?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://en.wikipedia.org/wiki/The_American_Spectator,https://www.facebook.com/amspec/,AmSpec
American Thinker,right,5,News Media,1368,754,0.644674835061263,https://www.allsides.com/news-source/american-thinker,0,0,0,0,Medium,https://twitter.com/AmericanThinker,https://en.wikipedia.org/wiki/American_Thinker,https://www.facebook.com/AmericanThinker/,AmericanThinker
Americans for Democratic Action,left,1,Think Tank / Policy Group,491,216,0.6944837340876945,https://www.allsides.com/news-source/americans-democratic-action,0,0,0,0,NA,NA,NA,NA,NA
Americans for Tax Reform,right,5,Think Tank / Policy Group,523,376,0.5817575083426029,https://www.allsides.com/news-source/americans-tax-reform,0,0,0,0,NA,NA,NA,NA,NA
Andrew Napolitano,right,5,Author,621,503,0.552491103202847,https://www.allsides.com/news-source/andrew-napolitano,0,0,0,0,NA,NA,NA,NA,NA
Andrew Sullivan,right-center,4,Author,37,37,0.5,https://www.allsides.com/news-source/andrew-sullivan-media-bias,0,0,0,1,NA,NA,NA,NA,NA
Andy Ngo,center,3,Author,88,77,0.5333333333333333,https://www.allsides.com/news-source/andy-ngo-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Ann Coulter,right,5,Author,1141,277,0.8046544428772919,https://www.allsides.com/news-source/ann-coulter,0,0,0,1,Medium,NA,NA,NA,NA
Annafi Wahed,left-center,2,Author,221,212,0.5103926096997691,https://www.allsides.com/news-source/annafi-wahed-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
AP,center,3,Author,868,704,0.5521628498727735,https://www.allsides.com/news-source/ap,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Aquinas College Saint,left,1,News Media,769,476,0.6176706827309237,https://www.allsides.com/news-source/aquinas-college-saint,0,0,0,0,NA,NA,NA,NA,NA
Associated Press,center,3,News Media,8112,5817,0.5823820805513676,https://www.allsides.com/news-source/associated-press-media-bias,1,0,0,0,Medium,https://twitter.com/@johnleicester?ref_src=twsrc%5Etfw,https://en.wikipedia.org/wiki/Associated_Press,https://www.facebook.com/APNews/,johnleicester
Axios,center,3,News Media,1356,1565,0.4642245806230743,https://www.allsides.com/news-source/axios,0,1,0,1,Low or Initial Rating,https://twitter.com/@axios,https://en.wikipedia.org/wiki/Axios,https://www.facebook.com/axiosnews/,axios
BBC News,center,3,News Media,11212,10996,0.5048631123919308,https://www.allsides.com/news-source/bbc-news-media-bias,0,0,0,1,Medium,https://twitter.com/bbcworld,https://en.wikipedia.org/wiki/BBC,https://www.facebook.com/bbcnews/,bbcworld
Breitbart News,right,5,News Media,17019,8114,0.6771575219830501,https://www.allsides.com/news-source/breitbart,0,1,0,1,High,https://twitter.com/BreitbartNews,https://en.wikipedia.org/wiki/Breitbart_News,https://www.facebook.com/Breitbart/,BreitbartNews
Business Insider,center,3,News Media,1886,2155,0.46671615936649347,https://www.allsides.com/news-source/business-insider,0,0,0,0,NA,https://twitter.com/businessinsider,https://en.wikipedia.org/wiki/Business_Insider,http://www.facebook.com/businessinsider,businessinsider
BuzzFeed News,left,1,News Media,6106,6551,0.48242079481709726,https://www.allsides.com/news-source/buzzfeed-media-bias,1,0,1,1,Medium,NA,https://en.wikipedia.org/wiki/BuzzFeed_News,NA,NA
CBS News,left-center,2,News Media,6905,5391,0.5615647364996746,https://www.allsides.com/news-source/cbs-news-media-bias,0,1,0,1,Low or Initial Rating,https://twitter.com/@CBSNews,https://en.wikipedia.org/wiki/CBS_News,https://www.facebook.com/CBSNews/,CBSNews
CNN (Web News),left-center,2,News Media,27746,28952,0.48936470422237116,https://www.allsides.com/news-source/cnn-media-bias,1,1,1,1,High,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN
CNBC,center,3,News Media,1564,3975,0.2823614370825059,https://www.allsides.com/news-source/cnbc,0,0,0,1,Low or Initial Rating,https://twitter.com/CNBC,https://en.wikipedia.org/wiki/CNBC,https://www.facebook.com/cnbc,CNBC
Daily Beast,left,1,News Media,7713,4241,0.6452233561987619,https://www.allsides.com/news-source/daily-beast-media-bias,1,1,0,0,NA,https://twitter.com/@thedailybeast,https://en.wikipedia.org/wiki/The_Daily_Beast,https://www.facebook.com/thedailybeast/,thedailybeast
Fox Online News,right-center,4,News Media,22692,32082,0.4142841494139555,https://www.allsides.com/news-source/fox-news-media-bias,1,1,0,1,High,https://twitter.com/FoxNews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews
HuffPost,left,1,News Media,20470,19857,0.5076003669997768,https://www.allsides.com/news-source/huffpost-media-bias,1,1,1,1,High,https://twitter.com/HuffPost,https://en.wikipedia.org/wiki/HuffPost,https://www.facebook.com/HuffPost,HuffPost
MSNBC,left,1,News Media,5681,1923,0.7471067859021567,https://www.allsides.com/news-source/msnbc,0,0,1,1,Medium,https://twitter.com/@MSNBC,https://en.wikipedia.org/wiki/MSNBC,https://www.facebook.com/msnbc/,MSNBC
National Review,right,5,News Media,9338,4448,0.6773538372261715,https://www.allsides.com/news-source/national-review,0,0,0,1,Medium,https://twitter.com/NRO,https://en.wikipedia.org/wiki/National_Review,https://www.facebook.com/nationalreview/,NRO
New York Post,right,5,News Media,3669,2522,0.5926344693910516,https://www.allsides.com/news-source/new-york-post,0,0,0,1,Low or Initial Rating,https://twitter.com/@nypost,https://en.wikipedia.org/wiki/New_York_Post,https://www.facebook.com/NYPost/,nypost
New York Times - News,left-center,2,News Media,15675,25234,0.38316751815004035,https://www.allsides.com/news-source/new-york-times,1,1,1,1,High,https://twitter.com/@rpogrebin?ref_src=twsrc%5Etfw,https://en.wikipedia.org/wiki/The_New_York_Times,https://www.facebook.com/nytimes/,rpogrebin
NPR Online News,center,3,News Media,19422,14510,0.5723800542260993,https://www.allsides.com/news-source/npr-media-bias,1,1,1,1,Medium,https://twitter.com/@NPR,https://en.wikipedia.org/wiki/NPR,https://www.facebook.com/NPR/,NPR
Reuters,center,3,News Media,6834,4515,0.6021675918583135,https://www.allsides.com/news-source/reuters,0,0,0,1,Low or Initial Rating,https://twitter.com/@Reuters,https://en.wikipedia.org/wiki/Reuters,https://www.facebook.com/Reuters/,Reuters
The Daily Caller,right,5,News Media,4658,2549,0.6463160815873457,https://www.allsides.com/news-source/daily-caller,1,0,0,1,Medium,https://twitter.com/@ChuckRossDC,https://en.wikipedia.org/wiki/The_Daily_Caller,https://www.facebook.com/DailyCaller/,ChuckRossDC
The Guardian,left-center,2,News Media,6067,3885,0.6096262057877814,https://www.allsides.com/news-source/guardian,0,0,0,1,Medium,https://twitter.com/guardian,https://en.wikipedia.org/wiki/TheGuardian.com,https://www.facebook.com/theguardian/,guardian
TheBlaze.com,right,5,News Media,29759,23159,0.5623606334328584,https://www.allsides.com/news-source/theblaze-bias,0,0,1,1,Medium,https://twitter.com/theblaze,https://en.wikipedia.org/wiki/TheBlaze,https://www.facebook.com/theblaze/,theblaze
USA TODAY,center,3,News Media,12275,9878,0.5541010246919154,https://www.allsides.com/news-source/usa-today-media-bias,0,1,1,1,High,https://twitter.com/@USATODAY,https://en.wikipedia.org/wiki/USA_Today,https://www.facebook.com/usatoday/,USATODAY
Washington Post,left-center,2,News Media,24245,15197,0.6147000659195782,https://www.allsides.com/news-source/washington-post-media-bias,0,1,1,1,High,https://twitter.com/@farhip,https://en.wikipedia.org/wiki/The_Washington_Post,https://www.facebook.com/washingtonpost/,farhip
Wall Street Journal - News,center,3,News Media,12470,17840,0.41141537446387333,https://www.allsides.com/news-source/wall-street-journal-media-bias,0,1,1,1,High,https://twitter.com/WSJ,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,https://www.facebook.com/wsj,WSJ
